Construction,Req_Finish_Fabrics,Fabric_Allowance,Rec_Beam_length(yds),Shrink_allow,Previous_pdn,Req_grey_fabric,Req_beam_length(yds),Total_Pdn(yds),Rejection,warp_count,weft_count,epi,ppi
40x40/110x90,2000.0,7.4,2515.2799999999997,15.2,TOTAL,2159.8272138228945,2328.9740801357284,2117,5,40,40.0,110,90
40x40/110x90,3000.0,7.1,3772.9199999999996,14.4,TOTAL,3229.278794402583,3449.6360242115807,3103,12,40,40.0,110,90
40x40/100x70,500.0,12.5,6364.7519999999995,14.5,TOTAL,571.4285714285714,611.1352509535238,5307,33,40,40.0,100,70
40x40/120x70,500.0,12.5,765.52,14.5,TOTAL,571.4285714285714,611.1352509535238,30,0,40,40.0,120,70
40x40/120x80,158.0,21.0,1312.32,24.0,TOTAL,200.0,240.63450506294998,1061,40,40,40.0,120,80
40x40/130x90,1900.0,8.9,2274.6879999999996,9.5,TOTAL,2085.6201975850713,2107.3086178802955,1804,0,40,40.0,130,90
40x40/130x80,850.0,11.1,1099.068,17.0,TOTAL,956.1304836895388,1053.3690912400946,886,0,40,40.0,130,80
40x60/130x90,4000.0,8.1,5046.964,12.0,TOTAL,4352.557127312296,4522.757539020724,3549,20,60,60.0,130,90
40x60/130x90,4000.0,8.0,4915.732,12.1,TOTAL,4347.826086956522,4522.981249637483,4008,51,60,60.0,130,90
40x40/130x80,4000.0,8.0,5041.495999999999,14.0,TOTAL,4347.826086956522,4622.907579571335,4210,52,40,40.0,130,80
40x40/130x80,400.0,14.0,5965.588,19.0,TOTAL,465.1162790697674,525.0709843463737,4828,140,40,40.0,130,80
40x40/130x80,1750.0,9.4,11417.184,15.3,TOTAL,1931.5673289183223,2085.297099317703,8652,266,40,40.0,130,80
40x40/130x80,7100.0,8.0,9022.199999999999,14.0,TOTAL,7717.391304347826,8205.66095373912,7451,60,40,40.0,130,80
40x40/130x80,4000.0,8.0,5085.24,14.0,TOTAL,4347.826086956522,4622.907579571335,4187,31,40,40.0,130,80
40x40/130x80,900.0,10.7,1164.684,16.4,TOTAL,1007.838745800672,1102.3671717227683,948,15,40,40.0,130,80
